Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Threat,Label
80,6,53779962,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.03718857,53800000.0,0.0,53800000,53800000,53800000,53800000.0,0.0,53800000,53800000,0,0.0,0.0,0,0,0,0,0,0,40,0,0.03718857,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
445,6,92743,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,43.12994,30914.334,53388.473,92562,37,92743,46371.5,65375.56,92599,144,0,0.0,0.0,0,0,0,0,0,0,72,32,32.347454,10.782485,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
57759,6,86128549,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.023221103,86100000.0,0.0,86100000,86100000,86100000,86100000.0,0.0,86100000,86100000,0,0.0,0.0,0,0,0,0,0,0,40,0,0.023221103,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,62558,-1,0,20,0.0,0.0,0,0,86100000.0,0.0,86100000,86100000,Benign,Benign
3389,6,4066397,14,8,1439,1731,725,0,102.78571,191.19711,1179,0,216.375,405.46478,779.5599,5.410195,193637.95,257077.97,953149,3,4066397,312799.78,362760.66,1321852,3,4034623,576374.7,342215.0,953149,106733,0,0,0,0,292,172,3.4428513,1.9673436,0,1179,137.82608,278.92563,77799.516,0,0,1,1,0,0,0,1,0,144.09091,102.78571,216.375,0,0,0,0,0,0,14,1439,8,1731,8192,62561,7,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
64219,6,131,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15267.176,131.0,0.0,131,131,131,131.0,0.0,131,131,0,0.0,0.0,0,0,0,0,0,0,40,0,15267.176,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,259,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
80,6,195,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10256.41,195.0,0.0,195,195,195,195.0,0.0,195,195,0,0.0,0.0,0,0,0,0,0,0,40,0,10256.41,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
62501,6,36,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,55555.555,36.0,0.0,36,36,36,36.0,0.0,36,36,0,0.0,0.0,0,0,0,0,0,0,40,0,55555.555,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,260,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
443,6,346800,9,6,524,2879,206,0,58.22222,86.004036,1430,0,479.83334,624.51465,9812.572,43.252594,24771.428,39913.4,97249,12,346800,43350.0,49952.02,113552,20,233454,46690.8,57380.277,119617,16,0,0,0,0,192,132,25.951557,17.301039,0,1430,212.6875,424.06284,179829.3,0,0,0,1,0,0,0,0,0,226.86667,58.22222,479.83334,0,0,0,0,0,0,9,524,6,2879,8192,172,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
3389,6,5295852,10,7,1148,1581,677,0,114.8,210.09247,1173,0,225.85715,430.0986,515.30896,3.2100594,330990.75,514928.62,1965191,2,5295852,588428.0,635189.8,1965191,2,5040003,840000.5,830485.3,2353775,215572,0,0,0,0,212,152,1.8882703,1.3217891,0,1173,151.61111,305.08267,93075.43,0,0,1,1,0,0,0,1,0,160.52942,114.8,225.85715,0,0,0,0,0,0,10,1148,7,1581,8192,62852,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
443,6,5262390,8,12,712,9495,396,0,89.0,144.13486,1460,0,791.25,701.2467,1939.613,3.8005545,276967.9,938624.75,3999187,0,1263203,180457.58,427361.12,1148128,189,5250717,477337.9,1223699.4,3999219,0,0,0,0,0,172,252,1.5202218,2.2803328,0,1460,486.0476,639.1337,408491.94,0,0,0,1,0,0,0,0,1,510.35,89.0,791.25,0,0,0,0,0,0,8,712,12,9495,8192,31,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
3389,6,3819455,9,7,1148,1581,677,0,127.55556,218.69106,1173,0,225.85715,430.0986,714.4998,4.1890793,254630.33,330118.1,996594,80,3819455,477431.88,429420.94,1259420,337,3571841,595306.8,510061.12,1477723,241872,0,0,0,0,192,152,2.356357,1.8327222,0,1173,160.52942,312.0441,97371.516,0,0,0,1,0,0,0,0,0,170.5625,127.55556,225.85715,0,0,0,0,0,0,9,1148,7,1581,8192,62852,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
53,17,1205,1,1,33,97,33,33,33.0,0.0,97,97,97.0,0.0,107883.82,1659.751,1205.0,0.0,1205,1205,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,829.8755,829.8755,33,97,54.333332,36.950417,1365.3334,0,0,0,0,0,0,0,0,1,81.5,33.0,97.0,0,0,0,0,0,0,1,33,1,97,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
53,17,582,1,1,37,53,37,37,37.0,0.0,53,53,53.0,0.0,154639.17,3436.426,582.0,0.0,582,582,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1718.213,1718.213,37,53,42.333332,9.237604,85.333336,0,0,0,0,0,0,0,0,1,63.5,37.0,53.0,0,0,0,0,0,0,1,37,1,53,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
80,6,53343174,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.037493084,53300000.0,0.0,53300000,53300000,53300000,53300000.0,0.0,53300000,53300000,0,0.0,0.0,0,0,0,0,0,0,40,0,0.037493084,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
