Feature,Importance
Active Std,0.36358896
Fwd Seg Size Min,0.08202127
Dst Port,0.0776069
Fwd PSH Flags,0.06622211
Fwd Header Len,0.06593016
Fwd Pkt Len Mean,0.051539157
Pkt Len Var,0.04125224
Fwd Pkt Len Min,0.030984815
Bwd IAT Max,0.029699838
Fwd Pkt Len Max,0.026158012
Init Bwd Win Byts,0.025437834
Flow IAT Max,0.018584928
RST Flag Cnt,0.017155025
Init Fwd Win Byts,0.014832848
Bwd Header Len,0.014258153
Bwd Pkt Len Mean,0.009281037
Flow IAT Mean,0.0083280215
Tot Bwd Pkts,0.007895114
URG Flag Cnt,0.0062791076
Bwd Pkts/s,0.0062282244
Bwd IAT Std,0.0058520287
Bwd IAT Min,0.0055570537
Flow Byts/s,0.0051492
Flow IAT Std,0.0033329893
FIN Flag Cnt,0.0032931615
Flow IAT Min,0.0030707296
Bwd IAT Mean,0.0022823643
Bwd IAT Tot,0.0014811475
Flow Duration,0.0014195855
Tot Fwd Pkts,0.0013175695
Bwd Pkt Len Min,0.0008607087
Bwd Pkt Len Max,0.00078515464
ACK Flag Cnt,0.00061954523
Flow Pkts/s,0.00040986863
Active Mean,0.00037144788
Down/Up Ratio,0.00036045845
Protocol,0.0003153076
PSH Flag Cnt,0.000237876
Subflow Bwd Pkts,0.0
Subflow Fwd Pkts,0.0
