,precision,recall,f1-score,support
Benign,0.75,0.3,0.42857142857142855,10.0
Botnet,1.0,1.0,1.0,10.0
Brute-force,0.5789473684210527,1.0,0.7333333333333333,11.0
DDoS attack,1.0,1.0,1.0,5.0
DoS attack,0.8888888888888888,0.6153846153846154,0.7272727272727273,13.0
Infilteration,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
Web attack,0.8181818181818182,1.0,0.9,9.0
accuracy,0.75,0.75,0.75,0.75
macro avg,0.7670502012607275,0.7498168498168498,0.7317872603586889,64.0
weighted avg,0.7779314526847422,0.75,0.7329207251082251,64.0
